date,TICKER,INDEXNAME,DURATION,daily_value
2023-01-09,MELI,Mercado Libre Transaction Index,Daily,0.1925721862161352
2023-01-10,MELI,Mercado Libre Transaction Index,Daily,0.1959545448041106
2023-01-11,MELI,Mercado Libre Transaction Index,Daily,0.19933690339208604
2023-01-12,MELI,Mercado Libre Transaction Index,Daily,0.20271926198006143
2023-01-13,MELI,Mercado Libre Transaction Index,Daily,0.20610162056803688
2023-01-17,MELI,Mercado Libre Transaction Index,Daily,0.20948397915601227
2023-01-18,MELI,Mercado Libre Transaction Index,Daily,0.21286633774398772
2023-01-19,MELI,Mercado Libre Transaction Index,Daily,0.2162486963319631
2023-01-20,MELI,Mercado Libre Transaction Index,Daily,0.21963105491993856
2023-01-23,MELI,Mercado Libre Transaction Index,Daily,0.22301341350791398
2023-01-24,MELI,Mercado Libre Transaction Index,Daily,0.22639577209588937
2023-01-25,MELI,Mercado Libre Transaction Index,Daily,0.22977813068386482
2023-01-26,MELI,Mercado Libre Transaction Index,Daily,0.23316048927184022
2023-01-27,MELI,Mercado Libre Transaction Index,Daily,0.23654284785981566
2023-01-30,MELI,Mercado Libre Transaction Index,Daily,0.23992520644779106
2023-01-31,MELI,Mercado Libre Transaction Index,Daily,0.2433075650357665
2023-02-01,MELI,Mercado Libre Transaction Index,Daily,0.2130638031616719
2023-02-02,MELI,Mercado Libre Transaction Index,Daily,0.21238366060569663
2023-02-03,MELI,Mercado Libre Transaction Index,Daily,0.2117035180497214
2023-02-06,MELI,Mercado Libre Transaction Index,Daily,0.21102337549374617
2023-02-07,MELI,Mercado Libre Transaction Index,Daily,0.21034323293777096
2023-02-08,MELI,Mercado Libre Transaction Index,Daily,0.2096630903817957
2023-02-09,MELI,Mercado Libre Transaction Index,Daily,0.2089829478258205
2023-02-10,MELI,Mercado Libre Transaction Index,Daily,0.20830280526984524
2023-02-13,MELI,Mercado Libre Transaction Index,Daily,0.20762266271387003
2023-02-14,MELI,Mercado Libre Transaction Index,Daily,0.20694252015789477
2023-02-15,MELI,Mercado Libre Transaction Index,Daily,0.20626237760191954
2023-02-16,MELI,Mercado Libre Transaction Index,Daily,0.2055822350459443
2023-02-17,MELI,Mercado Libre Transaction Index,Daily,0.20490209248996905
2023-02-21,MELI,Mercado Libre Transaction Index,Daily,0.20422194993399387
2023-02-22,MELI,Mercado Libre Transaction Index,Daily,0.2035418073780186
2023-02-23,MELI,Mercado Libre Transaction Index,Daily,0.20286166482204337
2023-02-24,MELI,Mercado Libre Transaction Index,Daily,0.20218152226606811
2023-02-27,MELI,Mercado Libre Transaction Index,Daily,0.2015013797100929
2023-02-28,MELI,Mercado Libre Transaction Index,Daily,0.20082123715411765
2023-03-01,MELI,Mercado Libre Transaction Index,Daily,0.1335346214690091
2023-03-02,MELI,Mercado Libre Transaction Index,Daily,0.13498488169119405
2023-03-03,MELI,Mercado Libre Transaction Index,Daily,0.136435141913379
2023-03-06,MELI,Mercado Libre Transaction Index,Daily,0.1378854021355639
2023-03-07,MELI,Mercado Libre Transaction Index,Daily,0.13933566235774889
2023-03-08,MELI,Mercado Libre Transaction Index,Daily,0.1407859225799338
2023-03-09,MELI,Mercado Libre Transaction Index,Daily,0.14223618280211878
2023-03-10,MELI,Mercado Libre Transaction Index,Daily,0.1436864430243037
2023-03-13,MELI,Mercado Libre Transaction Index,Daily,0.14513670324648867
2023-03-14,MELI,Mercado Libre Transaction Index,Daily,0.1465869634686736
2023-03-15,MELI,Mercado Libre Transaction Index,Daily,0.14803722369085853
2023-03-16,MELI,Mercado Libre Transaction Index,Daily,0.14948748391304348
2023-03-17,MELI,Mercado Libre Transaction Index,Daily,0.15093774413522845
2023-03-20,MELI,Mercado Libre Transaction Index,Daily,0.15238800435741337
2023-03-21,MELI,Mercado Libre Transaction Index,Daily,0.15383826457959832
2023-03-22,MELI,Mercado Libre Transaction Index,Daily,0.15528852480178323
2023-03-23,MELI,Mercado Libre Transaction Index,Daily,0.1567387850239682
2023-03-24,MELI,Mercado Libre Transaction Index,Daily,0.15818904524615315
2023-03-27,MELI,Mercado Libre Transaction Index,Daily,0.15963930546833807
2023-03-28,MELI,Mercado Libre Transaction Index,Daily,0.16108956569052305
2023-03-29,MELI,Mercado Libre Transaction Index,Daily,0.162539825912708
2023-03-30,MELI,Mercado Libre Transaction Index,Daily,0.1639900861348929
2023-03-31,MELI,Mercado Libre Transaction Index,Daily,0.16544034635707786
2023-04-03,MELI,Mercado Libre Transaction Index,Daily,0.24476223708091172
2023-04-04,MELI,Mercado Libre Transaction Index,Daily,0.23984228412502626
2023-04-05,MELI,Mercado Libre Transaction Index,Daily,0.2349223311691408
2023-04-06,MELI,Mercado Libre Transaction Index,Daily,0.23000237821325537
2023-04-07,MELI,Mercado Libre Transaction Index,Daily,0.22508242525736993
2023-04-10,MELI,Mercado Libre Transaction Index,Daily,0.22016247230148447
2023-04-11,MELI,Mercado Libre Transaction Index,Daily,0.21524251934559901
2023-04-12,MELI,Mercado Libre Transaction Index,Daily,0.21032256638971358
2023-04-13,MELI,Mercado Libre Transaction Index,Daily,0.20540261343382818
2023-04-14,MELI,Mercado Libre Transaction Index,Daily,0.2004826604779427
2023-04-17,MELI,Mercado Libre Transaction Index,Daily,0.19556270752205726
2023-04-18,MELI,Mercado Libre Transaction Index,Daily,0.19064275456617177
2023-04-19,MELI,Mercado Libre Transaction Index,Daily,0.18572280161028634
2023-04-20,MELI,Mercado Libre Transaction Index,Daily,0.1808028486544009
2023-04-21,MELI,Mercado Libre Transaction Index,Daily,0.17588289569851545
2023-04-24,MELI,Mercado Libre Transaction Index,Daily,0.17096294274263002
2023-04-25,MELI,Mercado Libre Transaction Index,Daily,0.16604298978674456
2023-04-26,MELI,Mercado Libre Transaction Index,Daily,0.16112303683085916
2023-04-27,MELI,Mercado Libre Transaction Index,Daily,0.15620308387497367
2023-04-28,MELI,Mercado Libre Transaction Index,Daily,0.15128313091908824
2023-05-01,MELI,Mercado Libre Transaction Index,Daily,0.10490399938084616
2023-05-02,MELI,Mercado Libre Transaction Index,Daily,0.11082030251773527
2023-05-03,MELI,Mercado Libre Transaction Index,Daily,0.11673660565462438
2023-05-04,MELI,Mercado Libre Transaction Index,Daily,0.12265290879151351
2023-05-05,MELI,Mercado Libre Transaction Index,Daily,0.1285692119284026
2023-05-08,MELI,Mercado Libre Transaction Index,Daily,0.13448551506529172
2023-05-09,MELI,Mercado Libre Transaction Index,Daily,0.14040181820218084
2023-05-10,MELI,Mercado Libre Transaction Index,Daily,0.14631812133906993
